timestamp_us,saddr,daddr,sport,dport,min_rtt,curr_rtt,srtt,rtt_var,queue_delay,loss_count,dup_ack,loss_rate_ppm,bytes_sent,bytes_acked,pkts_sent,pkts_acked,throughput_kbps,ack_interval,send_interval,inflight,rwnd,event
762721256078,74.48.174.95,170.254.238.10,443,58361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762721256079,74.48.174.95,170.254.238.66,443,29456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762721256080,74.48.174.95,170.254.239.42,443,63148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762721256081,74.48.174.95,170.254.237.15,443,1315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762721256082,74.48.174.95,170.254.239.227,443,38871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762721256083,74.48.174.95,170.254.238.28,443,49551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762721256084,74.48.174.95,170.254.236.145,443,55930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762721256085,74.48.174.95,170.254.239.34,443,32554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762730740117,74.48.174.95,170.254.238.36,443,44733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762731260100,74.48.174.95,170.254.237.134,443,56103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762731260101,74.48.174.95,170.254.239.34,443,32554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
